id,title,description,availability,condition,price,link,image_link,brand,google_product_category,product_type,visibility,status,additional_image_link
,5 Common Chords (arr. Brian Streckfus),,in stock,new,Check listing,https://www.sheetmusicdirect.com/se/ID_No/1469051/Product.aspx,img/previews/5_Common_Chords.png,Brian Streckfus Productions,Magazines & Catalogs,Sheet Music > Guitar > TAB,published,active,
,Both Sides Now (arr. Brian Streckfus),,in stock,new,$2.99,https://www.sheetmusicdirect.com/se/ID_No/1460880/Product.aspx,img/previews/Both_Sides_Now.png,Brian Streckfus Productions,Magazines & Catalogs,Sheet Music > Guitar > TAB,published,active,
,Off Kilter Grit 120 BPM A minor,,in stock,new,$1.99,,,Brian Streckfus Productions,Magazines & Catalogs,Sheet Music > Guitar > TAB,published,active,
,A Harmonic Minor Chord Progression Generator for Guitar (small chords),,in stock,new,$4.99,,img/previews/All Chord Progression Generators-preview.png,Brian Streckfus Productions,Magazines & Catalogs,Sheet Music > Guitar > TAB,published,active,
,Inactive *** Harmonic Minor Chord Progression Generator for Guitar,,in stock,new,$5.99,,img/previews/All Chord Progression Generators (1)-preview.png,Brian Streckfus Productions,Magazines & Catalogs,Sheet Music > Guitar > TAB,published,active,
,Study No. 2 D Dorian Mode,,in stock,new,$4.99,,img/previews/D_Dorian_1_Just_Melody_Version_2-preview.png,Brian Streckfus Productions,Magazines & Catalogs,Sheet Music > Guitar > TAB,published,active,
,Eyes Open,,in stock,new,$2.99,,img/previews/Eyes Open MASTER 4.1-preview.png,Brian Streckfus Productions,Magazines & Catalogs,Sheet Music > Guitar > TAB,published,active,
,D Egyptian Etude,,in stock,new,$5.99,,img/previews/Study - Dynamics - Brian Streckfus-preview.png,Brian Streckfus Productions,Magazines & Catalogs,Sheet Music > Guitar > TAB,published,active,
,Lost Boy,,in stock,new,$2.99,,img/previews/Lost_Boy_4_3_23-preview.png,Brian Streckfus Productions,Magazines & Catalogs,Sheet Music > Guitar > TAB,published,active,
,Study No. 6 & No. 7 - Major and Minor Modes,,in stock,new,$4.99,,img/previews/Study_No_6_+_7_-_Streckfus-preview.png,Brian Streckfus Productions,Magazines & Catalogs,Sheet Music > Guitar > TAB,published,active,
,Cancion del Emperador,,in stock,new,$5.99,,img/previews/Cancion del Emperador Best 4.0-preview.png,Brian Streckfus Productions,Magazines & Catalogs,Sheet Music > Guitar > TAB,published,active,
,Jingle Bells,,in stock,new,$2.99,,img/previews/Jingle Bells 11 Combine Master 11-1-24-preview.png,Brian Streckfus Productions,Magazines & Catalogs,Sheet Music > Guitar > TAB,published,active,
,"My Heart Will Go On (Love theme from ""Titanic"")",,in stock,new,$2.99,,img/previews/My Heart will Go On 4.0 - Full Score-preview.png,Brian Streckfus Productions,Magazines & Catalogs,Sheet Music > Guitar > TAB,published,active,
,We Three Kings,,in stock,new,$2.99,,img/previews/We Three Kings 6.1 Lyrics - Full Score-preview.png,Brian Streckfus Productions,Magazines & Catalogs,Sheet Music > Guitar > TAB,published,active,
